Aal;213,0;893,0;66,2;16,0;0,0;0,0;16,8;4,0;11,5;1,0;220,0;0,0
Aalbessen, rode bessen;51,0;213,0;82,9;1,1;7,9;6,0;0,1;0,0;0,0;0,0;0,0;7,9
Aardappel, zoet;96,0;402,0;74,1;1,3;21,0;3,0;0,1;0,0;0,0;0,0;0,0;2,5
Aardappel, zoet  gekook;85,0;356,0;76,0;1,3;19,1;5,5;0,2;0,1;0,0;0,0;0,0;2,4
Aardappelen, gebakken;126,0;529,0;73,0;2,0;16,0;1,0;5,5;2,5;0,8;1,6;0,0;2,5
Aardappelen, gekookt;82,0;346,0;77,4;2,0;17,0;0,0;0,1;0,0;0,0;0,0;0,0;2,5
Aardappelen, rauw;85,0;357,0;76,7;2,0;17,6;0,0;0,1;0,0;0,0;0,0;0,0;2,6
Aardappelkroketjes;223,0;936,0;55,8;3,2;27,0;1,0;11,0;3,0;6,5;1,0;1,5;2,0
Aardappelpuree;99,0;418,0;79,3;3,5;12,0;0,0;4,2;1,7;0,7;1,3;0,8;0,0
Aardappelschijfjes;141,0;591,0;68,5;2,0;20,5;1,0;5,0;2,4;1,2;0,6;0,6;3,0
Aardappelzetmeel;329,0;1378,0;17,9;0,1;81,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0
Aardbei;36,0;154,0;89,3;0,8;6,5;5,4;0,4;0,0;0,0;0,0;0,0;2,0
Aardpeer;81,0;343,0;78,9;2,5;17,5;0,0;0,1;0,0;0,0;0,0;0,0;18,0
Abrikoos, blik;74,0;310,0;80,3;0,5;17,0;16,0;0,1;0,0;0,0;0,0;0,0;1,1
Abrikoos, vers;60,0;252,0;83,4;1,4;11,5;7,7;0,4;0,0;0,0;0,0;0,0;2,3
Abrikozen, gedroogd;274,0;1151,0;26,9;5,0;58,5;55,8;0,1;0,0;0,0;0,0;0,0;8,5
Achterham;129,0;542,0;72,6;18,2;1,7;0,0;5,5;2,1;0,1;2,8;38,0;0,0
Achterham, gegrild;116,0;488,0;75,1;19,2;0,6;0,0;4,1;1,6;1,8;0,3;38,0;0,0
Adukibonen, gekookt;131,0;548,0;65,9;7,2;24,8;0,0;0,1;0,0;0,0;0,0;0,0;0,0
Advocaat;240,0;1006,0;54,5;3,8;24,5;24,5;3,2;1,1;2,1;0,0;150,0;0,0
Agar-agar, poeder;365,0;1529,0;4,6;6,0;80,0;0,0;0,0;0,0;0,0;0,0;0,0;8,4
